issn,journal_names,journal_hal,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022,rang_2025
2116-8865,Gestion et Management Public,Gestion et Management Public,,4,3,3,,
1044-0283,Global Finance Journal; GLOBAL FINANCE JOURNAL,Global Finance Journal,4,4,4,4,4,4
2042-5791,Global Strategy Journal; GLOBAL STRATEGY JOURNAL,Global Strategy Journal,,,3,3,2,1
0952-1895,Governance; GOVERNANCE,Governance,3,3,3,3,3,2
0926-2644,Group Decision and Negotiation; GROUP DECISION AND NEGOTIATION,Group Decision and Negotiation,,3,3,3,3,3
1089-2699,"Group Dynamics: Theory, Research and Practice; Group Dynamics: Theory, Research 
and Practice; GROUP DYNAMICS: THEORY, RESEARCH AND PRACTICE","Group Dynamics: Theory, Research and Practice",3,3,3,3,3,3
1368-4302,"Group Processes and Intergroup Relations; Group Processes and Intergroup 
Relations; GROUP PROCESSES AND INTERGROUP RELATIONS",Group Processes and Intergroup Relations,3,3,3,3,3,3
1059-6011,Group and Organization Management; GROUP AND ORGANIZATION MANAGEMENT,Group and Organization Management,3,3,2,2,2,2
0017-8012,Harvard Business Review; HARVARD BUSINESS REVIEW,Harvard Business Review,,,2,2,2,2
0278-2715,Health Affairs; HEALTH AFFAIRS,Health Affairs,,1,1,1,1,2
0361-6274,Health Care Management Review; HEALTH CARE MANAGEMENT REVIEW,Health Care Management Review,3,3,3,3,3,3
1386-9620,Health Care Management Science; HEALTH CARE MANAGEMENT SCIENCE,Health Care Management Science,4,4,3,3,3,3
0168-8510,Health Policy; HEALTH POLICY,Health Policy,2,2,2,2,2,2
0268-1080,Health Policy and Planning; HEALTH POLICY AND PLANNING,Health Policy and Planning,4,2,3,3,4,4
0951-4848,"Health Services Management Research; Health Services Management 
Research; HEALTH SERVICES MANAGEMENT RESEARCH",Health Services Management Research,4,4,4,4,4,4
0017-9124,Health Services Research; HEALTH SERVICES RESEARCH,Health Services Research,2,3,2,2,2,2
0895-9285,Human Performance; HUMAN PERFORMANCE,Human Performance,,3,3,3,3,3
0018-7267,Human Relations; HUMAN RELATIONS,Human Relations,2,2,1,1,1,1
